id,query,query_type,doc_id,expected_doc_title,relevant_chunks,acceptable_chunks,source_chunk_text,expected_answer_summary,must_include,source_hint,negative,doc_type,caption_dependent
G-U-017,법률 자료들에서 원심 파기환송 사례들 어디 있었지,cross_doc,,law sample2|law sample3,"law2:10,law3:13","law2:27,law2:29,law3:24","law2 ch10 (대구고등법원 환송), law3 ch13 (인천지방법원 환송)",두 판결 모두 원심 패소 부분 파기 후 고등/지방법원에 환송,파기;환송,,false,hwp,false
G-U-018,law sample 자료에서 손해배상 기준 어디 있었지,fuzzy_memory,,law sample2|law sample3,"16,27",17,,손해배상 산정 기준,손해배상,,false,hwp,false
G-U-019,경제전망에서 12% 증가 그게 어디였지,numeric_lookup,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,2,"911,981",,특정 지표 12% 증가 부분,12%;증가,,false,pdf,false
G-U-020,sample-report 경제전망 핵심만 알려줘,summary,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,"770,848,849",,,주요 경제 지표와 전망 요약,경제;전망,,false,pdf,false
G-U-021,브랜딩 스튜디오앤드오어 메인 컬러 뭐였지,exact_fact,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,3,0,,주요 브랜드 컬러 정보,컬러;색상,,false,pptx,false
G-U-022,스튜디오앤드오어 로고 디자인 컨셉이 뭐야,fuzzy_memory,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,3,,,로고 디자인 의도와 컨셉,로고;컨셉,,false,pptx,false
G-U-023,내 이력서에서 당근서비스 지원 포지션 뭐였지,exact_fact,51dd2cc0-4105-43c4-9585-6026a012a9cc,[당근서비스_Product Engineer(ERP)] 기웅민 이력서,7,2,,Product Engineer (ERP),Product Engineer;ERP,,false,pdf,false
G-U-024,내 이력서 프로젝트 경력 어떤 거 있었더라,fuzzy_memory,51dd2cc0-4105-43c4-9585-6026a012a9cc,[당근서비스_Product Engineer(ERP)] 기웅민 이력서,"106,116,103",70,,프로젝트 경력 리스트,프로젝트;경력,,false,pdf,false
G-U-025,내 이력서 기술 스택 정리 어디 있어,exact_fact,51dd2cc0-4105-43c4-9585-6026a012a9cc,[당근서비스_Product Engineer(ERP)] 기웅민 이력서,"103,106","100,101",,기술 스택 섹션,기술;스택,,false,pdf,false
G-U-026,승인글 템플릿 양식 어떻게 생겼더라,summary,,승인글 템플릿1|승인글 템플릿3,"101,112",,,승인글 양식 구조,승인;템플릿,,false,docx,false
G-U-027,승인글에서 결재 라인 보통 몇 단계야,exact_fact,,승인글 템플릿1|승인글 템플릿3,"43,112",,,결재 단계 수,결재;단계,,false,docx,false
G-U-028,이 자료들에 환경 인증 절차 나와있어?,out_of_scope,,,,,,자료에 없음,,,true,,false
G-U-029,내가 받은 자료 중에 ESG 관련 있나,out_of_scope,,,,,,자료에 없음,ESG,,true,,false
G-U-030,AI 윤리 가이드라인 같은 거 있어?,out_of_scope,,,,,,자료에 없음,AI;윤리,,true,,false
G-U-031,쏘나타랑 데이터센터 자료에서 둘 다 안전 관련 내용 있어?,cross_doc,,sonata-the-edge_catalog|2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,"쏘나타:25,데이터센터:344","쏘나타:11,쏘나타:26,쏘나타:29,쏘나타:112,데이터센터:346",,두 자료의 안전 관련 내용 비교,안전,데이터센터 측은 AI 신뢰성 고위험군 맥락 안전 언급뿐 — 비대칭,false,pdf,false
G-U-032,보건의료 자료랑 데이터센터 자료에서 데이터 활용 방식 어떻게 달라,cross_doc,,보건의료_빅데이터_플랫폼_시범사업_추진계획(안)|2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,"보건의료:10,데이터센터:409","보건의료:155,보건의료:13,보건의료:25,데이터센터:14",,두 자료의 데이터 활용 비교,데이터;활용,데이터센터 안내서엔 '데이터 활용 방식' 콘텐츠 사실상 없음 — 비대칭,false,pdf,false
G-A-001,친환경 데이터센터 전환 지원 내용은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,24,"9,10,11,18,22,388",개 과제 4  내외  ▸지원내용 ( ) 친환경고효율 데이터센터의 전환 유인을 ·   위한 데이터센터 장비 의 친환경 기술 도입실증 지원 ·SW ·  ▸지원대상 ( ) 데이터센터 관련 장비 및  제품의    SW  친환경 기술 도입고도화 및 실증이 필요한 중소 · · 중견 기업  ※ 자세한 사항은 월 중 별도 공모 시 확인 가능 5  해외진출 지원  ➋ 최대,개 과제 4 내외 ▸지원내용 ( ) 친환경고효율 데이터센터의 전환 유인을 · 위한 데이터센터 장비 의 친환경,데이터센터;친환경;지원내용,p.4,false,pdf,false
G-A-002,테스트베드 성공을 위한 주요 고려사항은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,76,"44,59,70,72,396,397","기술성 및  확장 방안의  적절성  해당 테스트베드 분야의 장비 시장성기술성 등 산업 영향력  o  ·SW  ,  테스트베드 적용 분야의 확장성 및 성장 가능성 등  o  10  지속 활용  방안의 적절성  시장 및 산업 수요실증된 장비 의 수요처 활용수급 가능성 o  ,  ·SW · ,  자체 실증수요 확보 및 수요처 확대 방안 등 테스트베드 활용 가능성","기술성 및 확장 방안의 적절성 해당 테스트베드 분야의 장비 시장성기술성 등 산업 영향력 o ·SW , 테스트",테스트베드;가능성;방안의,p.10,false,pdf,false
G-A-003,데이터센터 교육 모델 검증 방식은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,129,"128,130,141,159,402,407","- 외부위원회 ( ) 데이터센터 전문인력 양성 교육과정 교육시수 및    ,  강사진 교육 운영방안 등 교육 모델에 대해 산학연으로 구성된  ,  외부위원회를 통해 점검검증 수행 ·  산학연 외부 전문가가 포함된 운영위원회가칭최소 명 이상사업기간 회 이상 추진       ( ,  5 )  2 內  ※  ○ 교육운영관리 ( · ) 비수도권 데이터센터 전문인력","- 외부위원회 ( ) 데이터센터 전문인력 양성 교육과정 교육시수 및 , 강사진 교육 운영방안 등 교육 모델에",데이터센터;전문인력;외부위원회,p.15,false,pdf,false
G-A-004,비수도권 데이터센터 컨설팅 지원센터 운영 방안,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,183,"189,14,178,409,206,190,196,179,192,410,407,191,36,28,12,223,411,123,185,208,227,186","제안 요청 사항  □  ○ 컨설팅 지원센터 운영모델 마련 ( ) 데이터센터 유치 및 계획 중인  지자체비수도권에 위치한 기업 등을 대상으로 효율적이고 체계적인 ,  상시 컨설팅 지원센터 운영 모델 제안  - 비수도권 데이터센터 관련 실질적 도움이 될 수 있는 컨설팅 지원분야  개발 및선정환경 및 현황분석 방안개선방안 등 컨설팅 방법론 마련   ,  ,  -",제안 요청 사항 □ ○ 컨설팅 지원센터 운영모델 마련 ( ) 데이터센터 유치 및 계획 중인 지자체비수도권에,컨설팅;지원센터;데이터센터,p.20,false,pdf,false
G-A-005,사업계획의 타당성을 어떻게 판단하나요?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,235,"151,64,101,200,117,251,174,81,253,119,172,83,400,166,241,327",사업계획의  타당성  사업 방향 및 목적과 수행계획 목적 및 내용간 부합성  o  사업의 방향성 및 목적에 대한 이해도   -  사업 수행의 필요성 및 중요성에 대한 이해도   -  사업 추진내용에 대한 구체성 및 사업기간내 실현 가능여부  o,사업계획의 타당성 사업 방향 및 목적과 수행계획 목적 및 내용간 부합성 o 사업의 방향성 및 목적에 대한 이,이해도;사업계획의;타당성,p.26,false,pdf,false
G-A-006,과제 종료 후 진행될 사항은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,301,"268,270,274,278,280,426,314",과제 수행 종료 수행기관  ( NIPA) →  과제종료 및 수행 결과보고서 제출추진실적 등 ( ) ∙  월 12,과제 수행 종료 수행기관 ( NIPA) → 과제종료 및 수행 결과보고서 제출추진실적 등 ( ) ∙ 월 12,수행기관;과제종료;결과보고서,p.29,false,pdf,false
G-A-007,사업 참여 시 유의사항과 규정 위반 시 불이익은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,341,"442,432,434","유의사항 및 관련 규정 6.  공고문 유의 사항 □  ○ 선정된 자가 공고문 및 관련 규정 등에 위배 되거나수행계획서의  ,  내용을 허위 기재 누락한 경우 선정 취소정부 사업 참여제한 및  ,  ,  정부 지원금 환수 등의 조치를 받을 수 있음  ○ 본 공고문 및 안내서에 명시되지 않은 사항은 본 사업 운영지침  에서 정하는 바에 따르며사업신청 및 선정이",유의사항 및 관련 규정 6. 공고문 유의 사항 □ ○ 선정된 자가 공고문 및 관련 규정 등에 위배 되거나수행,공고문;유의사항;선정된,p.35,false,pdf,false
G-A-008,성과 목표 및 외부 시험 인증 기준,table_lookup,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,374,"317,434,401,416","□서류 작성 제출 시 유의사항   ·  구분 유의사항  신청서류  작성시  성과지표  목표치  각 과제별 성과 목표에 포함된 수치 필수 성과지표로 반영 ◦  수행기간 내에 실현가능한 수치로 작성 ◦  수행계획서에 기재한 목표치는 이후 하향 조정 불가최종평가시 증빙 제출   -  ,  외부시험인증 로부터 인정을 받은 외부 시험인증 기관 이용 권장      -",□서류 작성 제출 시 유의사항 · 구분 유의사항 신청서류 작성시 성과지표 목표치 각 과제별 성과 목표에 포함,유의사항;신청서류;작성시,p.40,false,pdf,true
G-A-009,비수도권 데이터센터 교육 과정별 특징은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,403,"401,402,134,405,123,28,407,410,125,12,135,128,385,409,386,419,415","[표] 비수도권 데이터센터 전문인력 양성 지원 사업의 기초 및 전문과정 개요  nipa 정보통신산업진흥원 National IT Industry Promotion Agency < 비수도권 데이터센터 전문인력 양성 지원 개요(안) > 당신, 대한민국! 새로운 국민의 나라 구분 기초과정 전문과정 교육 대상 ○ 비수도권 소재 재학·재직자 등을 대상으로 비수도권 데",[표] 비수도권 데이터센터 전문인력 양성 지원 사업의 기초 및 전문과정 개요 nipa 정보통신산업진흥원 Na,20명;80명;45시간;데이터센터;비수도권,p.16,false,pdf,true
G-A-010,지원과제 수행기관의 개인정보 보호 지침은?,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,(붙임2) 2025년 데이터센터 산업 활성화 지원 사업 토,429,"348,384,388,392,408,432,433","[문서] 개인정보를 처리하는 지원과제 수행기관의 개인정보 보호 유의사항 및 책임에 대한 안내  nipa 정보통신산업진흥원 National IT Industry Promotion Agency 개인정보보호 유의사항 다시, 대한민국!",[문서] 개인정보를 처리하는 지원과제 수행기관의 개인정보 보호 유의사항 및 책임에 대한 안내 nipa 정보통,유의사항;개인정보를;처리하는,p.36,false,pdf,false
G-A-011,긴 생머리 젊은 여성의 착장과 표정은?,table_lookup,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,1,,,,생머리에;앞머리를;여성이,p.2,false,pptx,true
G-A-012,사업 운영의 꿈은 어떤 내용인가요?,exact_fact,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,2,3,,,가지고;운영하고;사업을,p.3,false,pptx,false
G-A-013,이 스튜디오의 주요 특징과 가치는 무엇인가요?,exact_fact,430e9fbe-3ebc-4c8e-a592-a94034b2ac0f,브랜딩_스튜디오앤드오어,3,,,,제공합니다;고객의;서비스를,p.4,false,pptx,false
G-A-014,올해 경제 성장률 전망치 상향 요인은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,47,"14,18,25,26,47,911,904,981","경제전망     금년 성장률은 美관세 영향과 건설투자의 더딘 회복에도 불구하고 반도체 경기 개선세  확대, 예상보다 양호한 세계경제 흐름 등에 힘입어 지난 11월 전망수준보다 높은 2.0%를  나타낼 것으로 예상된다.  ▪ 1/4분기중에는 소비가 회복세를 지속하고 수출도 반도체를 중심으로 강한 증가  세가 나타나는 데다, 전분기 역성장-0.3%의 기저효과","경제전망  금년 성장률은 美관세 영향과 건설투자의 더딘 회복에도 불구하고 반도체 경기 개선세 확대, 예상보",11월;2.0%;4분;경제전망;성장률은,p.10,false,pdf,false
G-A-015,인공지능 발달로 어떤 메모리 수요가 늘었나?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,157,"927,156","8 AI 추론 기능의 고도화로 요청 건당 정보처리량이 증가함에 따라, 추론 과정에서 필요한 임시저장용 메모리(HBM·DDR5)  수요가 증대되었다. 한편, AI 생성 데이터 저장량도 증가하며 비휘발성 메모리인 NAND 수요도 확대되고 있다.","8 AI 추론 기능의 고도화로 요청 건당 정보처리량이 증가함에 따라, 추론 과정에서 필요한 임시저장용 메모리",기능의;고도화로;정보처리량이,p.19,false,pdf,false
G-A-016,2026년 가계부채 관리 정책 방향,numeric_lookup,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,248,"956,945","자료: 국토교통부  42  정부는 26.1.14일 가계부채 점검회의를 통해 2026년에도 가계부채 관리기조를 일관되게 유지할 방침임을  밝혔으며, 1.28일 기자간담회에서 2026년 가계부채 관리방안을 조만간 발표할 계획임을 밝혔다.",자료: 국토교통부 42 정부는 26.1.14일 가계부채 점검회의를 통해 2026년에도 가계부채 관리기조를 일,1.14일;2026년;1.28일;가계부채;국토교통부,p.30,false,pdf,false
G-A-017,향후 수출입 흐름에 영향을 미칠 요인은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,322,"14,25,26,47,48,922,990,322","向, 美관세의 영향 등으로 감소할 것으로 예상된다. 화공품, 철강 등 여타 비IT품목 의 경우 중국과의 경쟁 심화, 美관세의 영향, 여타국의 무역장벽 강화멕시코 관세, EU  CBAM로 감소세가 이어질 것으로 보인다. 27년에는 IT부문이 금년중 반도체 수출 호  조의 기저효과로 다소 감소하겠으나 비IT부문은 세계경기 회복과 더불어 점차 개선 될 것으로 기","向, 美관세의 영향 등으로 감소할 것으로 예상된다. 화공품, 철강 등 여타 비IT품목 의 경우 중국과의 경쟁",27년;것으로;관세의;반도체,p.43,false,pdf,false
G-A-018,장기 부진 이후 소비 회복을 이끈 요인은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,440,"442,409,572,408,441,410","두 번째 유형은 장기 부진 이후 ‘점진적 개선’형 회복기다. 2000년대 이후로 보면  04Q4~08Q1년과 17Q1~19Q1년의 소비 회복기가 이에 해당한다. 이 유형은 대규모 충격의  상흔, 이후 급반등에 따른 부작용 등으로 상당 기간 부진을 이어가던 소비가, 거시경제  여건의 개선을 배경으로 점진적으로 회복하는 과정으로 볼 수 있다. 당시 여건은  공",두 번째 유형은 장기 부진 이후 ‘점진적 개선’형 회복기다. 2000년대 이후로 보면 04Q4~08Q1년과,2000년;1년;유형은;점진적;회복기다,p.59,false,pdf,true
G-A-019,소득 불균형이 필립스 곡선 기울기에 미치는 영향은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,727,"728,731,730,724,742,722,723,725","국가별로 보더라도 소득불균형 확대시 성장-물가간 관계가 약화되는 경향이 있는 것으로  파악된다. OECD 26개국을 대상으로 실증분석18 해본 결과 소득불균형이 심해 지니계수가  높은 국가일수록 필립스 곡선의 기울기가 더 완만하게 추정[그림5,6]되었다. 이는 경제 성과가  고르게 분배되지 않는 차별화된 성장이 총수요의 물가 반응을 제약하는 요인으로 작용할",국가별로 보더라도 소득불균형 확대시 성장-물가간 관계가 약화되는 경향이 있는 것으로 파악된다. OECD 26,26개;국가별로;보더라도;소득불균형,p.68,false,pdf,true
G-A-020,한국은행 전망 오차의 원인과 특징은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,793,"774,794,788,773,810,908,909,758,837,787,47,824,280,779,804,914,572,52,282,904,807,806,834,912,759,784,716,815,821,827,789,822,836,14,811,84,790","한국은행 전망에서는 점진적∙보수적인 전망 경향이 나타남  [그림3] 분기별 GDP 성장률1) 및 전망  [그림4] 분기성장률(전년동기대비) 증감과 전망오차2)  주: 1) 속보치 기준         2) 성장률이 전기보다 확대되는 경우 과소추정, 축소되는 경우 과대추정하는 경향을 나타냄  자료: 저자 계산    7. 최근 전망오차가 비교적 컸던 24.하반기",한국은행 전망에서는 점진적∙보수적인 전망 경향이 나타남 [그림3] 분기별 GDP 성장률1) 및 전망 [그림4,4분;24년;1.17%;성장률이;전망오차가,p.80,false,pdf,true
G-A-021,주요 경제 지표들의 추이는?,table_lookup,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,868,"15,49,76,97,99,950",통관수출4)  0.6  2.4  7.0  -5.6  -0.1  -0.7  0.8  1.1  ..  소비자물가3)  2.4  2.1  2.4  2.0  2.1  2.1  2.1  2.0  1.7  중  국  GDP성장률3)  5.0  5.0  5.4  5.2  4.8  4.5  -  -  -  산업생산2)3)  5.8  5.9  6.5  6.2  5.8  5,통관수출4) 0.6 2.4 7.0 -5.6 -0.1 -0.7 0.8 1.1 .. 소비자물가3) 2.4 2.1,통관수출;소비자물가;성장률,p.91,false,pdf,true
G-A-022,반도체 및 AI 인프라 투자 동향과 시장 상황은?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,929,"160,161,163,162,928,924,151,931,930,922,168,932,923,926,155",대 추진은 증기적인 투자 지속성을 높이는 요인이다. 이러한 상황을 반영하여 우리나라 등 주요 반도체 기업들의 생산능력 확대 일정도 2027년 상반기까지 상당 부분 구체화되어 있다. [표 1] 빅테크 기업의 인프라투자 진행 상황 [표 2] 주요국 정부 전력 인프라 지원 계획 기업 주요 투자분야 자본지출CapEx 국가 정책 지원 내용 (투자 일정) 규모(억달러,대 추진은 증기적인 투자 지속성을 높이는 요인이다. 이러한 상황을 반영하여 우리나라 등 주요 반도체 기업들의,2027년;28년;40%;인프라;데이터센터,p.20,false,pdf,true
G-A-023,내용 없는 텍스트의 의미는 무엇인가요?,exact_fact,d1259dfe-c402-4cd0-bb04-3e67d88a2773,sample-report,976,"106,275,277,374,768,903",.................................................................................................... ...................................................................................................,............................................................,,p.35,false,pdf,false
G-A-024,2018년 보건의료 빅데이터 사업 내용은?,numeric_lookup,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),9,"10,14,36,94,122,158,153","1 배 경  【2018년사업예산개요】  ◇(보건의료빅데이터플랫폼, 46억) 공공기관이보유한보건의료  정보를연계하여연구등에활용할수있는기반구축  ⇒국회예산심의결과77억→46억으로감액(△31억)  ◇(기관간분석자료공유·활용네트워크, 24억) 의료기관·공공  기관이보유한데이터의분석결과를취합*할수있는기반구축  * 개인정보제공없이분석결과만을취합, 연구에활용  ◇(보건","1 배 경 【2018년사업예산개요】 ◇(보건의료빅데이터플랫폼, 46억) 공공기관이보유한보건의료 정보를연계하여",2018년;보건의료빅데이터;년사업예산개요;플랫폼,p.4,false,pdf,false
G-A-025,건강 관련 연구의 포함 기준과 결정 방법은?,exact_fact,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),22,"154,21,87,14,80","- 법령상정의와같이의과학, 치의학, 한의학, 의료공학·의료기기,  의료정보학, 의약품분야연구중영리적* 연구제외  * 시장분석, 개발된제품의마케팅등의학적진보와무관한연구  ④건강관련학술연구  - 위의분류에속하지않는연구중건강과의관계가명확한  학술연구  ○분야별구체적연구의유형, 활용가능한데이터등은위원회  심의를통해결정, 보건복지부고시를통해규범화  * 연구유형및활용","- 법령상정의와같이의과학, 치의학, 한의학, 의료공학·의료기기, 의료정보학, 의약품분야연구중영리적* 연구제외",법령상정의와같이;의과학;치의학,p.7,false,pdf,false
G-A-026,보건의료정보 법안 마련 시 핵심 고려사항은?,summary,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),35,"157,34,36,37","○향후법안마련시중요내용및방향성등에대해서는위원회  논의를반드시거쳐추진  * 법(안) 논의·검토가광범위하고장기적인과제인점을고려, 공론화위원회를적극활용  - 안전한개인정보연계·활용방법을구체적으로규정하고, 오남용에  대한제재조치도보다강화할필요  □ 특별법(안) 검토 필요사항  ○정보소유자(본인)의권리보호  - 보건의료정보의원천적권리소유자인개인을보호하고, 오용·",○향후법안마련시중요내용및방향성등에대해서는위원회 논의를반드시거쳐추진 * 법(안) 논의·검토가광범위하고장기적인과,향후법안마련시중;요내용및방향성등;에대해서는위원회,p.10,false,pdf,false
G-A-027,주민번호 암호화 방식의 특징은?,exact_fact,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),58,"160,124,67,162","□ 주민번호 일방 암호화(붙임 2 참고)를 통한 안전한 결합키 체제 활용  ○주민번호또는생년월일등주민번호의일부자리및기타정보를  일방암호화*함으로써, 두개이상의원천기관의자료결합에활용  - 단순히주민번호만을암호화하는기존방식과달리, 무작위숫자  (이하암호키)와함께암호화*하는방식을채택  * 암호키를이용하는일방암호화방식. 美연방정부공무원패스워드저장방식  □ 정보유출",□ 주민번호 일방 암호화(붙임 2 참고)를 통한 안전한 결합키 체제 활용 ○주민번호또는생년월일등주민번호의일부,주민번호;암호화;안전한,p.13,false,pdf,false
G-A-028,건강 유해 요소의 발견 및 추적 연구 방안,exact_fact,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),80,"79,84,163,86,22,83,78","건강상태간의비교를통해지역별건강유해요인도출  - 특히유해한사례의경우행정조사등을통해구체화할수  있도록후보군을도출, 전국단위건강유해요소스크리닝연구  · 직역별, 직장별건강유해요인도출  - 특정직역또는사업소등에서특별히빈번하게발생하는질환  등을연구하여산업안전차원에서의건강연구수행  - 필요시시계열연구를통해근로기간및제도변화에따른  직업재해및건강개선등추적조사가능","건강상태간의비교를통해지역별건강유해요인도출 - 특히유해한사례의경우행정조사등을통해구체화할수 있도록후보군을도출,",건강상태간의비교;를통해지역별건강;유해요인도출,p.16,false,pdf,false
G-A-029,보건의료 빅데이터 예산 심의 결과는?,exact_fact,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),94,"167,7,6,151,9",붙임 5 붙임 5  보건의료 빅데이터 관련 예산 내역  □ 세부 예산내역  (단위: 백만원)  구분 사업명 정부안 최종 심의액 비고  정보화  사업,붙임 5 붙임 5 보건의료 빅데이터 관련 예산 내역 □ 세부 예산내역 (단위: 백만원) 구분 사업명 정부안,보건의료;빅데이터;예산내역,p.20,false,pdf,false
